"x"
"1"	"control"
"2"	"control"
"3"	"control"
"4"	"control"
"5"	"CRC"
"6"	"CRC"
"7"	"CRC"
"8"	"CRC"
"9"	"control"
"10"	"control"
"11"	"control"
"12"	"control"
"13"	"control"
"14"	"control"
"15"	"control"
"16"	"control"
"17"	"control"
"18"	"control"
"19"	"control"
"20"	"control"
"21"	"CRC"
"22"	"CRC"
"23"	"CRC"
"24"	"CRC"
"25"	"CRC"
"26"	"CRC"
"27"	"CRC"
"28"	"CRC"
"29"	"control"
"30"	"control"
"31"	"control"
"32"	"control"
"33"	"CRC"
"34"	"CRC"
"35"	"CRC"
"36"	"CRC"
"37"	"control"
"38"	"control"
"39"	"control"
"40"	"control"
"41"	"CRC"
"42"	"CRC"
"43"	"CRC"
"44"	"CRC"
"45"	"CRC"
"46"	"CRC"
"47"	"CRC"
"48"	"CRC"
"49"	"control"
"50"	"control"
"51"	"control"
"52"	"control"
"53"	"control"
"54"	"control"
"55"	"control"
"56"	"control"
"57"	"CRC"
"58"	"CRC"
"59"	"CRC"
"60"	"CRC"
"61"	"CRC"
"62"	"CRC"
"63"	"CRC"
"64"	"CRC"
"65"	"CRC"
"66"	"CRC"
"67"	"CRC"
"68"	"CRC"
"69"	"CRC"
"70"	"CRC"
"71"	"CRC"
"72"	"CRC"
"73"	"CRC"
"74"	"CRC"
"75"	"CRC"
"76"	"CRC"
"77"	"CRC"
"78"	"CRC"
"79"	"CRC"
"80"	"CRC"
"81"	"CRC"
"82"	"CRC"
"83"	"CRC"
"84"	"CRC"
"85"	"control"
"86"	"control"
"87"	"control"
"88"	"control"
"89"	"control"
"90"	"control"
"91"	"control"
"92"	"control"
"93"	"control"
"94"	"control"
"95"	"control"
"96"	"control"
"97"	"control"
"98"	"control"
"99"	"control"
"100"	"control"
"101"	"control"
"102"	"control"
"103"	"control"
"104"	"control"
"105"	"CRC"
"106"	"CRC"
"107"	"CRC"
"108"	"CRC"
"109"	"control"
"110"	"control"
"111"	"control"
"112"	"control"
"113"	"CRC"
"114"	"CRC"
"115"	"CRC"
"116"	"CRC"
"117"	"CRC"
"118"	"control"
"119"	"control"
"120"	"control"
"121"	"control"
"122"	"CRC"
"123"	"CRC"
"124"	"CRC"
"125"	"CRC"
"126"	"control"
"127"	"control"
"128"	"control"
"129"	"control"
"130"	"CRC"
"131"	"CRC"
"132"	"CRC"
"133"	"CRC"
"134"	"CRC"
"135"	"CRC"
"136"	"CRC"
"137"	"CRC"
"138"	"CRC"
"139"	"CRC"
"140"	"CRC"
"141"	"CRC"
"142"	"CRC"
"143"	"CRC"
"144"	"CRC"
"145"	"CRC"
"146"	"control"
"147"	"control"
"148"	"control"
"149"	"control"
"150"	"CRC"
"151"	"CRC"
"152"	"CRC"
"153"	"CRC"
"154"	"CRC"
"155"	"CRC"
"156"	"CRC"
"157"	"CRC"
"158"	"control"
"159"	"control"
"160"	"control"
"161"	"control"
