"x"
"1"	"CRC"
"2"	"control"
"3"	"control"
"4"	"control"
"5"	"control"
"6"	"control"
"7"	"CRC"
"8"	"control"
"9"	"CRC"
"10"	"control"
"11"	"CRC"
"12"	"control"
"13"	"CRC"
"14"	"control"
"15"	"CRC"
"16"	"CRC"
"17"	"control"
"18"	"control"
"19"	"control"
"20"	"control"
"21"	"control"
"22"	"CRC"
"23"	"control"
"24"	"control"
"25"	"control"
"26"	"CRC"
"27"	"control"
"28"	"control"
"29"	"CRC"
"30"	"CRC"
"31"	"control"
"32"	"control"
"33"	"control"
"34"	"CRC"
"35"	"control"
"36"	"control"
"37"	"CRC"
"38"	"control"
"39"	"control"
"40"	"control"
"41"	"control"
"42"	"control"
"43"	"control"
"44"	"control"
"45"	"CRC"
"46"	"CRC"
"47"	"CRC"
"48"	"CRC"
"49"	"CRC"
"50"	"CRC"
"51"	"CRC"
"52"	"CRC"
"53"	"CRC"
"54"	"CRC"
"55"	"CRC"
"56"	"CRC"
"57"	"CRC"
"58"	"CRC"
"59"	"CRC"
"60"	"CRC"
"61"	"CRC"
"62"	"control"
"63"	"control"
"64"	"control"
"65"	"control"
"66"	"control"
"67"	"control"
"68"	"control"
"69"	"control"
"70"	"control"
"71"	"control"
"72"	"control"
"73"	"control"
"74"	"control"
"75"	"control"
"76"	"control"
"77"	"control"
"78"	"control"
"79"	"control"
"80"	"control"
"81"	"CRC"
"82"	"control"
"83"	"control"
"84"	"control"
"85"	"CRC"
"86"	"CRC"
"87"	"CRC"
"88"	"CRC"
"89"	"CRC"
"90"	"CRC"
"91"	"CRC"
"92"	"CRC"
"93"	"CRC"
"94"	"CRC"
"95"	"CRC"
"96"	"control"
"97"	"CRC"
"98"	"control"
"99"	"CRC"
"100"	"CRC"
"101"	"CRC"
"102"	"control"
"103"	"control"
"104"	"control"
"105"	"control"
"106"	"control"
"107"	"control"
